,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
375,2021-10-20,1050357479.4710579,463078199.9316711,63557724.01647692,463078199.9316711,523721555.5229098,420958726.6148282,102762828.90808159,0.027340227160237873
376,2021-10-21,1050510169.4283367,462625883.6822684,63557724.01647692,462625883.6822684,524326561.72959137,426184305.1939302,98142256.53566116,1.2261311633060075
377,2021-10-22,1050664184.3729674,462173564.54289216,63557724.01647692,462173564.54289216,524932895.81359816,425987536.01321656,98945359.8003816,-0.046191299997929036
378,2021-10-23,1050739795.3835611,461721244.71802324,63557724.01647692,461721244.71802324,525460826.6490609,426097735.70121884,99363090.94784206,0.02586253780975767
379,2021-10-24,1050899266.1632847,461268928.70674765,63557724.01647692,461268928.70674765,526072613.4400602,426253495.5854709,99819117.85458928,0.03654160865897893
380,2021-10-25,1051051537.110131,460816611.5350213,63557724.01647692,460816611.5350213,526677201.5586328,425368666.1139441,101308535.44468868,-0.20801472746225613
381,2021-10-26,1051211963.8294379,460364291.3402807,63557724.01647692,460364291.3402807,527289948.4726803,425265841.2629003,102024107.20977998,-0.024178958445958187
382,2021-10-27,1051364525.5990939,459911972.948771,63557724.01647692,459911972.948771,527894828.633846,424616802.1906244,103278026.44322157,-0.1528528944044325
383,2021-10-28,1051443773.280377,459459652.9584022,63557724.01647692,459459652.9584022,528426396.3054979,423020130.59286857,105406265.71262932,-0.37744577202936114
384,2021-10-29,1051599234.3489667,459007333.94325477,63557724.01647692,459007333.94325477,529034176.3892351,423485312.993539,105548863.3956961,0.10984617090545612
385,2021-10-30,1051756182.4350495,458555016.1350273,63557724.01647692,458555016.1350273,529643442.2835453,422862353.74590164,106781088.53764367,-0.14731962827121947
386,2021-10-31,1051914673.5462075,458102697.5702532,63557724.01647692,458102697.5702532,530254251.9594774,417758033.80705345,112496218.15242398,-1.2218364521520328
387,2021-11-01,1052071406.7011342,457650383.5422534,63557724.01647692,457650383.5422534,530863299.1424038,418005916.7968047,112857382.34559906,0.05930131124716809
388,2021-11-02,1052226269.0773804,457269099.2582949,63557724.01908279,457269099.2582949,531399445.8000028,417956622.5459615,113442823.25404131,-0.011794106896289236
389,2021-11-03,1052379807.1385146,456816781.1108193,63557724.01908279,456816781.1108193,532005302.0086126,417915756.44023997,114089545.5683726,-0.00977855108159531
390,2021-11-04,1052458294.6778306,456364457.30150294,63557724.01908279,456364457.30150294,532536113.35724485,418438915.95160395,114097197.4056409,0.12502649524704168
391,2021-11-05,1052609770.3341746,455915411.4602072,63557724.02038406,455915411.4602072,533136634.85358334,421999712.66744524,111136922.1861381,0.8437912654806468
392,2021-11-06,1052770384.7869242,455463080.0289247,63557724.02038406,455463080.0289247,533749580.7376155,418710726.44982344,115038854.28779209,-0.7855032149542751
393,2021-11-07,1052923116.3762558,455010749.8706972,63557724.02038406,455010749.8706972,534354642.4851744,418841618.79015416,115513023.69502026,0.03125103486821956
394,2021-11-08,1053075785.983463,454568323.9910794,63557724.02082623,454568323.9910794,534949737.97155744,418397603.89002883,116552134.0815286,-0.1061227158083824
395,2021-11-09,1053232002.7046636,454115996.499236,59557724.01895183,454115996.499236,539558282.1864759,418179088.9026797,121379193.28379619,-0.052253924968511
396,2021-11-10,1053309160.9346075,453663661.7572086,59557724.01558234,453663661.7572086,540087775.1618165,417978420.6498311,122109354.51198536,-0.04800923754307007
397,2021-11-11,1053466801.7296102,453417824.5108791,59346553.0088597,453417824.5108791,540702424.2098714,421174313.5796104,119528110.630261,0.7588052800791729
398,2021-11-12,1053625659.8366041,453214288.42014647,59096984.97633985,453214288.42014647,541314386.4401178,421623993.5515623,119690392.88855553,0.10665426513419618
399,2021-11-13,1053784126.5700003,448680145.4971968,58878084.7655564,448680145.4971968,546225896.307247,421725021.7617768,124500874.54547024,0.023955944039656174
400,2021-11-14,1053942010.3780537,448227666.70962995,58878084.7655564,448227666.70962995,546836258.9028673,421778304.3333644,125057954.56950289,0.012632838398801027
401,2021-11-15,1054098428.32868,447775188.7467558,58878084.7655564,447775188.7467558,547445154.8163679,418524703.5823327,128920451.2340352,-0.7773975402605373
402,2021-11-16,1054177871.8922826,447322709.55289286,58878084.76391458,447322709.55289286,547977077.5754752,418809932.4870291,129167145.08844614,0.06810461800718315
403,2021-11-17,1054336684.3511827,447243974.3299385,58710675.62027861,447243974.3299385,548382034.4009656,418726239.79439485,129655794.60657072,-0.01998744876254932
404,2021-11-18,1054491334.405857,446791949.7640662,47044008.61988238,446791949.7640662,560655376.0219083,418471274.72227013,142184101.29963815,-0.06092773567168308
405,2021-11-19,1054643334.0943686,446341376.1616677,47044008.62132661,446341376.1616677,561257949.3113743,418202743.3838074,143055205.9275669,-0.06421080270540358
406,2021-11-20,1054794146.3179337,445888774.4936414,47044008.62132661,445888774.4936414,561861363.2029657,417857071.36806023,144004291.8349055,-0.0827249409984745
407,2021-11-21,1054944959.802944,445436171.8332138,47044008.62132661,445436171.8332138,562464779.3484036,416915951.854702,145548827.49370158,-0.22573363028483584
408,2021-11-22,1055093100.9110754,444983573.2839827,47044008.62132661,444983573.2839827,563065519.0057659,421089106.76306826,141976412.24269766,0.9910384385018887
409,2021-11-23,1055165666.5190873,444563228.7425446,47044008.62205073,444563228.7425446,563558429.1544919,421142489.327922,142415939.8265699,0.01267565401413151
